Address	Function	Instruction
.text:000000014825B047	sub_14825A4A0	                lea     rdx, aInvalidpayload ; "InvalidPayload"
.text:000000014825B068	sub_14825A4A0	                lea     r9, aUnableToRetrie_11 ; "Unable to retrieve the payload from the"...
.text:00000001482FFAE3	sub_1482FF680	                lea     rdx, aMfMtAacPayload ; "MF_MT_AAC_PAYLOAD_TYPE"
.text:000000014832052D	sub_1483203A0	                lea     rdx, off_14BFF44C8 ; "Payload size write failed with code %d"
.text:00000001483205B9	sub_1483203A0	                lea     rdx, off_14BFF48E0 ; "Payload write failed with code %d"
.text:0000000148320703	sub_1483203A0	                lea     rdx, off_14BFF45C0 ; "Payload write failed with code %d"
.text:0000000148E5803D	sub_148E57EB0	                lea     rdx, aZuBytesWebsock ; "%zu bytes websocket payload"
.text:0000000148E58692	sub_148E58250	                lea     rdx, aEagainFlushing ; "EAGAIN flushing sendbuf, payload_encode"...
.text:0000000148E58912	sub_148E58810	                lea     rdx, aWebsocketDecod_0 ; "websocket, decoded %s [%s%s payload=%ll"...
.text:0000000148E58B77	sub_148E589B0	                lea     rdx, aWebsocketPasse ; "websocket, passed %zd bytes payload, %l"...
.text:0000000148E58F01	sub_148E58E90	                lea     rdx, aWsEncSSSSPaylo ; "WS-ENC: %s [%s%s%s payload=%lld/%lld]"
.text:0000000148E99526	sub_148E99100	                lea     r8, aAssertionFaile_277 ; "Assertion Failed: pPayloadPtr <= helper"...
.text:0000000148E9954F	sub_148E99100	                lea     r8, aPayloadExceede ; "Payload exceeded max size of %d\n"
.text:0000000148E99F06	sub_148E995B0	                lea     r8, aAssertionFaile_277 ; "Assertion Failed: pPayloadPtr <= helper"...
.text:0000000148E99F31	sub_148E995B0	                lea     r8, aPayloadExceede ; "Payload exceeded max size of %d\n"
.text:0000000148E9A522	sub_148E99F90	                lea     r8, aAssertionFaile_277 ; "Assertion Failed: pPayloadPtr <= helper"...
.text:0000000148E9A54D	sub_148E99F90	                lea     r8, aPayloadExceede ; "Payload exceeded max size of %d\n"
.text:0000000148E9AC5E	sub_148E9A5C0	                lea     r8, aAssertionFaile_277 ; "Assertion Failed: pPayloadPtr <= helper"...
.text:0000000148E9AC8D	sub_148E9A5C0	                lea     r8, aPayloadExceede ; "Payload exceeded max size of %d\n"
.text:0000000148E9B4E3	sub_148E9B3F0	                lea     r8, aAssertionFaile_287 ; "Assertion Failed: pPayloadPtr+pSeg->m_c"...
